year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2003,7,AS,Alaska Airlines Inc.,ADK,"Adak Island, AK: Adak",9,1,1,0,0,0,0,2,0,15,15,0,0,0,0
2003,7,AS,Alaska Airlines Inc.,ADQ,"Kodiak, AK: Kodiak Airport",62,20,8.34,0.61,5.4,0,5.65,8,0,669,212,41,131,0,285
2003,7,AS,Alaska Airlines Inc.,AKN,"King Salmon, AK: King Salmon Airport",60,9,2.51,0,1.47,1,4.03,2,0,522,98,0,32,26,366
2003,7,AS,Alaska Airlines Inc.,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1779,290,84.58,3.79,39.04,16.58,146.01,80,1,12515,3629,224,1060,447,7155
2003,7,AS,Alaska Airlines Inc.,BET,"Bethel, AK: Bethel Airport",101,20,2.27,1.98,1.93,0,13.83,7,0,593,85,60,45,0,403
2003,7,AS,Alaska Airlines Inc.,BOI,"Boise, ID: Boise Air Terminal",62,7,6,0,0,0,1,0,0,218,191,0,0,0,27
2003,7,AS,Alaska Airlines Inc.,BOS,"Boston, MA: Logan International",62,7,3.39,0,3.61,0,0,0,0,219,130,0,89,0,0
2003,7,AS,Alaska Airlines Inc.,BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial",62,18,2.16,3.63,1.02,0,11.19,2,1,920,228,272,32,0,388
2003,7,AS,Alaska Airlines Inc.,BUR,"Burbank, CA: Bob Hope",209,30,15.04,0,6.54,0,8.42,1,0,1426,885,0,170,0,371
2003,7,AS,Alaska Airlines Inc.,CDV,"Cordova, AK: Merle K Mudhole Smith",62,12,4,0,1.25,0,6.75,1,0,689,302,0,23,0,364
2003,7,AS,Alaska Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",31,3,0.55,0,1.45,0,1,0,0,92,11,0,54,0,27
2003,7,AS,Alaska Airlines Inc.,DEN,"Denver, CO: Denver International",186,32,15.53,0,5.5,0,10.98,0,0,1474,739,0,182,0,553
2003,7,AS,Alaska Airlines Inc.,DLG,"Dillingham, AK: Dillingham Airport",44,11,4.24,0,2.45,0,4.3,3,0,525,271,0,54,0,200
2003,7,AS,Alaska Airlines Inc.,DUT,"Unalaska, AK: Unalaska Airport",62,17,4.71,3.96,1.59,0,6.74,18,0,746,142,269,87,0,248
2003,7,AS,Alaska Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",62,13,1.68,0,10.27,0,1.05,0,1,344,77,0,246,0,21
2003,7,AS,Alaska Airlines Inc.,FAI,"Fairbanks, AK: Fairbanks International",537,96,32.42,0.73,8.76,8,46.09,18,0,3599,1267,11,204,233,1884
2003,7,AS,Alaska Airlines Inc.,GEG,"Spokane, WA: Spokane International",209,46,23.34,0,2.93,0,19.73,4,0,1824,1045,0,62,0,717
2003,7,AS,Alaska Airlines Inc.,GST,"Gustavus, AK: Gustavus Airport",31,5,1.79,0.36,0.84,0,2,1,0,141,50,8,19,0,64
2003,7,AS,Alaska Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",62,10,3.59,0,5.41,1,0,0,0,415,182,0,218,15,0
2003,7,AS,Alaska Airlines Inc.,JNU,"Juneau, AK: Juneau International",566,89,37.94,0,16.45,0.71,33.91,4,3,4546,1978,0,422,17,2129
2003,7,AS,Alaska Airlines Inc.,KTN,"Ketchikan, AK: Ketchikan International",279,44,14.85,1.94,4.12,0,23.09,7,1,2237,758,288,126,0,1065
2003,7,AS,Alaska Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",368,77,28.55,0.6,18.43,0,29.41,4,3,3245,1523,29,513,0,1180
2003,7,AS,Alaska Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",763,104,46.72,0,24.67,1,31.62,14,0,4359,2458,0,727,15,1159
2003,7,AS,Alaska Airlines Inc.,MCO,"Orlando, FL: Orlando International",31,5,2.32,0,2.68,0,0,0,1,304,203,0,101,0,0
2003,7,AS,Alaska Airlines Inc.,MIA,"Miami, FL: Miami International",31,11,2.3,0,8.7,0,0,0,1,206,39,0,167,0,0
2003,7,AS,Alaska Airlines Inc.,OAK,"Oakland, CA: Metropolitan Oakland International",541,85,38.45,0,10.02,0,36.53,5,2,4558,2211,0,339,0,2008
2003,7,AS,Alaska Airlines Inc.,OME,"Nome, AK: Nome Airport",93,22,9.2,1.5,3.29,0,8.01,1,1,677,280,63,116,0,218
2003,7,AS,Alaska Airlines Inc.,ONT,"Ontario, CA: Ontario International",244,50,23.15,0,8.22,0.61,18.02,2,0,2090,1130,0,220,11,729
2003,7,AS,Alaska Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",31,2,1,0,1,0,0,0,0,50,15,0,35,0,0
2003,7,AS,Alaska Airlines Inc.,OTZ,"Kotzebue, AK: Ralph Wien Memorial",93,16,6.15,1,3.58,0,5.27,3,0,343,139,36,72,0,96
2003,7,AS,Alaska Airlines Inc.,PDX,"Portland, OR: Portland International",1367,209,66.38,1.1,21.58,4,115.95,17,0,10498,3717,126,593,99,5963
2003,7,AS,Alaska Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",248,63,23.39,0,15.24,0,24.38,0,0,2979,1268,0,451,0,1260
2003,7,AS,Alaska Airlines Inc.,PSG,"Petersburg, AK: Petersburg James A Johnson",62,24,5.31,1.86,2.31,0,14.51,2,0,1468,267,165,95,0,941
2003,7,AS,Alaska Airlines Inc.,PSP,"Palm Springs, CA: Palm Springs International",62,10,2.85,0,1.8,0,5.35,0,0,610,188,0,61,0,361
2003,7,AS,Alaska Airlines Inc.,RNO,"Reno, NV: Reno/Tahoe International",155,28,15.5,0,3.09,2.93,6.48,0,0,1964,1465,0,114,92,293
2003,7,AS,Alaska Airlines Inc.,SAN,"San Diego, CA: San Diego International",395,91,34.18,0,33.25,0,23.58,2,2,4273,2224,0,853,0,1196
2003,7,AS,Alaska Airlines Inc.,SCC,"Deadhorse, AK: Deadhorse Airport",36,10,4.09,0,2.24,0,3.67,1,0,544,337,0,63,0,144
2003,7,AS,Alaska Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",4581,709,194.53,18.84,125.59,24.93,345.11,68,2,33110,10325,1401,3673,603,17108
2003,7,AS,Alaska Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",391,53,20.87,0,16.14,0.44,15.55,6,0,2609,1184,0,608,7,810
2003,7,AS,Alaska Airlines Inc.,SIT,"Sitka, AK: Sitka Rocky Gutierrez",155,19,4.95,0.26,5.47,0,8.32,0,0,663,203,6,128,0,326
2003,7,AS,Alaska Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",454,74,35.58,0,8.97,0,29.45,9,0,3474,1836,0,236,0,1402
2003,7,AS,Alaska Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",248,56,27.78,0,6.52,2,19.7,3,0,2353,1419,0,176,58,700
2003,7,AS,Alaska Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",534,71,19.25,0,19.89,0,31.86,5,0,3351,1129,0,503,0,1719
2003,7,AS,Alaska Airlines Inc.,TUS,"Tucson, AZ: Tucson International",26,3,2.19,0,0,0,0.81,0,0,151,138,0,0,0,13
2003,7,AS,Alaska Airlines Inc.,WRG,"Wrangell, AK: Wrangell Airport",62,16,1.2,2.35,0.98,0,11.47,1,2,1189,361,175,89,0,564
2003,7,AS,Alaska Airlines Inc.,YAK,"Yakutat, AK: Yakutat Airport",62,12,1,0.86,0.14,0,10,1,0,636,18,19,3,0,596
